2020-08-07 23:54:48,059; Fusion360CommandBase; DEBUG; 342; notify ; ***Debug ***The Input: cmdID_Nester_selection was the command
2020-08-07 23:54:48,065; NesterCommand; DEBUG; 537; onInputChanged ; Nester.NesterCommend.onInputChanged
2020-08-07 23:54:48,090; NesterCommand; DEBUG; 244; add ; Nester.NestFaces.add
2020-08-07 23:54:48,108; NesterCommand; DEBUG; 312; __init__ ; Nester.NestStock.init
2020-08-07 23:54:48,120; NesterCommand; DEBUG; 417; __init__ ; Nester.NestFace.init
2020-08-07 23:54:48,145; NesterCommand; DEBUG; 244; add ; Nester.NestFaces.add
2020-08-07 23:54:48,157; NesterCommand; DEBUG; 312; __init__ ; Nester.NestStock.init
2020-08-07 23:54:48,163; NesterCommand; DEBUG; 417; __init__ ; Nester.NestFace.init
2020-08-07 23:54:48,181; NesterCommand; DEBUG; 244; add ; Nester.NestFaces.add
2020-08-07 23:54:48,199; NesterCommand; DEBUG; 312; __init__ ; Nester.NestStock.init
2020-08-07 23:54:48,211; NesterCommand; DEBUG; 417; __init__ ; Nester.NestFace.init
2020-08-07 23:54:48,223; NesterCommand; DEBUG; 244; add ; Nester.NestFaces.add
2020-08-07 23:54:48,241; NesterCommand; DEBUG; 312; __init__ ; Nester.NestStock.init
2020-08-07 23:54:48,253; NesterCommand; DEBUG; 417; __init__ ; Nester.NestFace.init
2020-08-07 23:54:48,406; Fusion360CommandBase; DEBUG; 291; notify ; ExecutePreviewHandler.notify
2020-08-07 23:54:48,418; Fusion360CommandBase; DEBUG; 298; notify ; ***Debug *** Preview: cmdID_Nester execute preview event triggered
2020-08-07 23:54:48,430; NesterCommand; DEBUG; 515; onPreview ; Nester.NesterCommend.onPreview
2020-08-07 23:54:48,448; NesterCommand; DEBUG; 34; getInputs ; getInputs
2020-08-07 23:54:48,460; NesterCommand; DEBUG; 21; getSelectedObjects ; getSelectedObjects
2020-08-07 23:54:48,466; NesterCommand; DEBUG; 21; getSelectedObjects ; getSelectedObjects
2020-08-07 23:54:48,484; NesterCommand; DEBUG; 323; addJointOrigin ; Nester.NestStock.addJointOrigin
2020-08-07 23:54:48,490; NesterCommand; DEBUG; 153; getBoundingBoxExtent ; getBoundingBoxExtents
2020-08-07 23:54:48,574; NesterCommand; DEBUG; 455; addJoint ; Nester.NestFace.addJoint
